Mature_Name	Sample_1	Sample_2	Sample_3	Sample_4	Sample_5	Sample_6	Sample_7	Sample_8	Sample_9	Sample_10	Sample_11	Sample_12	Sample_13	Sample_14	Sample_15
miR-1324	27.33	15.67	150.88	14.71	4.25	9.36	54.66	15.74	20.78	9.23	30.63	10.21	25.19	23.74	95.04
miR-133a	15.74	14.02	85.28	15.69	13.29	15.6	31.88	14.09	48.98	13.07	64.67	70.01	27.99	20.95	95.04
miR-133b	19.05	28.04	111.52	21.57	16.48	27.3	63.77	19.89	46.01	11.53	29.5	36.46	29.86	22.34	79.2
miR-134	19.05	14.02	91.84	14.71	19.67	10.14	54.66	24.03	26.72	10	21.56	11.67	26.12	20.95	68.64
miR-135a-5p	118.45	36.29	98.4	127.48	34.56	145.07	72.88	18.23	154.37	29.6	201.96	239.21	137.15	97.76	52.8
miR-135b-5p	582.31	587.28	229.6	655.07	954.98	856.38	145.75	280.07	912.84	311.03	898.62	930.58	532.74	585.15	137.27
miR-136-5p	177.26	354.68	111.52	176.52	274.9	134.15	145.75	425.07	473.49	186.08	655.81	787.64	250.04	192.72	95.04
miR-137	90.29	207.86	124.64	57.86	212.16	71.76	68.32	214.61	80.15	122.64	79.42	109.39	38.25	85.19	73.92
miR-138-5p	10.77	9.9	98.4	9.81	2.66	8.58	59.21	9.94	31.17	8.07	29.5	30.63	15.86	26.53	58.08
miR-139-3p	29.82	24.74	150.88	31.38	7.98	31.98	113.87	13.26	65.31	11.15	61.27	90.43	35.45	30.72	84.48
miR-139-5p	10.77	9.07	72.16	16.67	6.91	13.26	72.88	17.4	115.77	11.53	81.69	77.31	15.86	30.72	47.52
miR-140-3p	17.39	21.45	91.84	27.46	23.93	22.62	81.99	26.52	57.89	14.61	52.19	81.68	26.12	20.95	126.71
miR-140-5p	96.91	97.33	268.96	87.28	76.57	99.05	241.4	81.2	258.27	89.58	398.25	485.71	91.43	83.79	205.91
miR-141-3p	129.22	277.97	124.64	96.1	280.75	99.05	95.65	283.38	22.26	154.55	26.1	21.88	86.77	134.07	58.08
miR-142-3p	841.57	1533.35	3083.15	647.23	1461.71	645.8	2974.29	954.55	515.05	898.49	764.74	831.4	614.84	765.31	4244.93
miR-142-5p	33.96	23.1	111.52	12.75	7.44	11.7	72.88	12.43	57.89	8.84	27.23	14.59	35.45	36.31	89.76
miR-143-3p	602.19	1619.13	262.4	423.64	1545.72	570.14	642.23	2354.89	145.46	828.9	96.44	1.46	524.34	601.91	828.92
miR-144-3p	623.72	884.21	282.08	295.18	858.2	257.38	159.42	410.16	48.98	162.63	19.29	1.46	253.77	472.03	385.42
miR-145-5p	390.14	741.52	964.3	329.5	859.27	449.25	1307.23	550.19	406.69	516.33	723.89	765.76	309.75	317.02	1309.38
miR-1468	8.28	16.5	52.48	13.73	4.79	6.24	63.77	15.74	37.11	6.15	15.88	26.25	14.93	20.95	52.8
miR-1469	5.8	4.95	59.04	7.85	4.79	7.02	40.99	8.29	20.78	4.61	13.62	20.42	11.2	11.17	63.36
miR-146a-5p	28.16	28.87	177.12	20.59	32.97	20.28	100.21	24.86	48.98	15.38	41.98	37.92	24.26	29.33	147.83
miR-146b-3p	6.63	9.07	39.36	11.77	7.98	4.68	59.21	15.74	23.75	4.23	24.96	18.96	11.2	11.17	58.08
miR-146b-5p	12.42	18.97	104.96	10.79	9.57	18.72	91.1	11.6	22.26	6.54	15.88	24.8	22.39	13.97	126.71
miR-1470	15.74	18.97	137.76	7.85	14.89	15.6	100.21	21.54	32.65	8.84	26.1	21.88	15.86	29.33	47.52
miR-1471	14.08	26.39	52.48	10.79	9.57	14.04	63.77	22.37	38.59	10	24.96	10.21	28.92	25.14	116.15
miR-147a	5.8	5.77	85.28	7.85	4.79	8.58	54.66	8.29	28.2	3.46	14.75	13.13	13.06	11.17	52.8
miR-147b	9.94	15.67	137.76	22.55	16.48	10.92	100.21	9.94	38.59	11.53	35.17	29.17	28.92	29.33	58.08
miR-148a-3p	475.45	305.19	5543.11	481.5	302.55	443.01	7059.95	217.09	74.21	482.89	80.56	88.97	443.17	452.48	8780.24
miR-148b-3p	472.14	604.6	1147.98	527.59	679.54	409.47	778.87	610.68	1001.89	356.78	882.74	864.94	424.51	502.76	976.76
miR-149-5p	67.09	40.42	144.32	121.6	29.78	109.97	100.21	35.63	590.75	71.13	762.47	878.07	115.69	89.38	110.87
miR-150-5p	115.14	183.11	570.71	217.7	294.04	298.72	1812.81	592.45	2221.98	354.86	1447.78	1330.24	217.39	185.74	739.17
miR-151a-3p	48.04	51.96	183.68	58.84	38.82	54.6	200.41	38.12	105.38	41.52	247.35	304.85	78.37	60.05	332.62
