Mature_Name	Sample_9	Sample_11	Sample_12	Sample_7	Sample_15	Sample_3	Sample_1	Sample_10	Sample_14	Sample_6	Sample_13	Sample_4	Sample_5	Sample_8	Sample_2
miR-1292	68.57	39.31	40.43	105.22	134.16	287.91	17.22	17.76	12.9	10.81	12.93	22.65	6.14	28.71	15.24
miR-1293	96	65.52	67.39	210.43	182.94	227.3	24.87	20.43	48.39	30.63	53.88	47.57	20.88	51.68	36.2
miR-1294	54.86	36.69	57.28	147.3	256.12	303.07	28.7	18.65	74.2	25.22	28.02	31.71	24.57	38.28	32.39
miR-1295a	65.15	78.63	87.6	147.3	231.73	242.45	19.13	18.65	45.16	28.83	21.55	20.39	8.6	28.71	20.96
miR-1296	48	62.9	50.54	94.69	158.55	196.99	7.65	17.76	9.68	14.41	12.93	15.86	4.91	22.97	17.15
miR-1297	116.58	70.77	60.65	199.91	97.57	166.69	28.7	15.1	58.07	18.02	32.33	40.78	9.83	28.71	28.58
miR-1298	96	49.8	43.8	189.39	121.96	272.76	34.44	18.65	70.97	34.23	43.1	33.98	35.62	51.68	41.92
miR-1299	58.29	44.56	50.54	168.35	134.16	181.84	22.96	7.99	58.07	12.61	36.64	24.92	18.42	30.63	20.96
miR-1301	99.43	96.98	84.23	273.56	121.96	287.91	38.27	14.21	58.07	39.64	43.1	40.78	19.65	30.63	38.11
miR-1302	85.72	39.31	37.06	94.69	97.57	151.53	15.31	21.31	41.94	10.81	19.4	20.39	24.57	30.63	26.67
miR-1303	37.72	18.35	26.95	84.17	73.18	60.61	9.57	7.1	25.81	10.81	19.4	11.33	7.37	9.57	9.53
miR-1304-5p	58.29	62.9	53.91	168.35	85.37	227.3	15.31	16.87	45.16	14.41	32.33	24.92	17.2	47.85	22.86
miR-1305	99.43	60.28	60.65	284.08	195.14	363.68	51.66	23.09	64.52	30.63	84.05	38.51	22.11	34.45	59.07
miR-1306-3p	65.15	60.28	67.39	294.6	207.34	242.45	21.05	23.98	35.49	23.42	38.79	29.45	14.74	19.14	22.86
miR-1307-3p	72	83.87	101.08	189.39	170.75	257.61	22.96	17.76	35.49	12.61	38.79	31.71	19.65	34.45	24.77
miR-130a-3p	747.46	726.01	707.56	810.16	841.54	545.52	803.63	496.45	693.6	450.42	368.54	532.35	1067.38	1521.69	1345.18
miR-130b-3p	78.86	44.56	50.54	242	378.08	227.3	47.84	25.76	41.94	55.85	62.5	70.22	66.33	57.42	60.97
miR-132-3p	10481.53	8311.13	9841.86	547.12	463.46	439.45	281.27	920.97	387.12	1261.17	614.23	758.88	115.46	210.55	87.65
miR-1321	78.86	78.63	50.54	326.17	256.12	378.83	72.71	21.31	61.29	48.65	56.04	31.71	35.62	70.82	55.26
miR-1322	123.43	86.49	84.23	263.04	182.94	287.91	30.61	12.43	58.07	30.63	40.95	27.18	11.05	24.88	28.58
miR-1323	147.43	102.22	97.71	462.95	414.67	454.6	6737.12	6716.78	5522.96	3873.6	3892.28	3595.03	16083.12	8800.92	14741.67
miR-1324	48	70.77	23.59	126.26	219.53	348.53	63.14	21.31	54.84	21.62	58.19	33.98	9.83	36.37	36.2
miR-133a	113.15	149.4	161.73	73.65	219.53	196.99	36.35	30.2	48.39	36.03	64.66	36.24	30.71	32.54	32.39
miR-133b	106.29	68.15	84.23	147.3	182.94	257.61	44.01	26.64	51.62	63.06	68.97	49.84	38.08	45.94	64.78
