Mature_Name	Sample_1	Sample_2	Sample_3	Sample_4	Sample_5	Sample_6	Sample_7	Sample_8	Sample_9	Sample_10	Sample_11	Sample_12	Sample_13	Sample_14	Sample_15
miR-200a-3p	1655	487	6084	1812	590	1478	5970	662	324	2011	292	339	1841	1878	6584
miR-523-3p	2927	5530	6	1769	5507	1472	10	6024	8	3838	5	5	1623	3226	6
miR-539-3p	2322	2858	96	2476	2595	2208	129	2942	2633	2923	2235	2900	2704	2604	129
miR-181a-3p	1901	1601	169	2635	1906	2208	195	2034	3979	2512	3145	4414	2463	2078	222
miR-455-3p	1727	1429	2922	1747	1520	1590	3498	1781	1507	2092	1153	1532	1878	1988	4039
miR-376c-3p	2437	5277	78	1471	4678	1252	106	5450	634	2924	549	666	1614	2501	88
miR-132-3p	1223	261	140	2514	280	2314	142	304	5529	1724	4617	6311	2637	1377	164
miR-24-2-5p	2413	3535	355	1653	5038	1410	270	6055	251	3103	183	272	1495	2714	257
miR-425-5p	1747	1963	924	2053	2340	1724	901	2506	2425	2278	1979	2556	1905	2091	976
miR-361-5p	1552	1496	592	1843	1591	1708	690	1785	3388	1832	2842	3761	2063	1657	857
miR-503-5p	2347	4289	216	1250	5147	1080	179	5762	76	2875	60	79	1288	2465	216
miR-197-3p	1400	633	419	2314	770	1965	414	889	4258	1823	3314	4762	2331	1497	458
miR-181a-2-3p	1735	1995	449	2037	2371	1646	463	2591	2443	2383	1878	2827	1929	2026	430
miR-127-5p	1773	2921	83	1866	3036	1391	83	3185	1726	2588	1340	1871	1730	2133	75
miR-181d-5p	1199	277	74	2511	269	2146	71	329	4474	1572	3700	4798	2582	1289	78
miR-652-3p	1733	2375	196	1804	2477	1657	197	2606	1927	2314	1633	2190	1872	2049	229
miR-378c	1398	1028	3419	1419	1622	1070	3066	1552	889	1850	652	986	1207	1657	2898
miR-493-3p	1979	3664	145	1480	4352	978	135	4748	81	3029	58	100	1164	2530	118
miR-520f-3p	2121	4703	7	1079	4208	938	13	4754	9	2815	4	6	1081	2332	4
miR-135b-5p	1344	1679	26	1606	2176	1355	17	2465	2761	1969	2152	3040	1610	1751	13
miR-374a-5p	1646	2441	787	1314	2753	1186	711	3174	1347	1911	1124	1389	1395	1795	888
miR-889-3p	1592	2044	106	1965	1741	1579	144	2028	1946	2161	1643	2371	1794	1981	124
miR-504-5p	1022	396	97	2184	438	1530	83	463	4172	1281	3145	4770	2000	1147	120
miR-365b-3p	1719	2206	1102	1324	2127	1244	1416	2467	804	2016	588	833	1472	1726	1654
miR-365a-3p	1719	2206	1101	1324	2126	1244	1416	2468	804	2016	588	833	1472	1725	1654
miR-497-5p	1259	742	628	1712	828	1588	666	983	2954	1493	2515	3279	1912	1324	736
miR-517-5p	2375	3373	3	1692	2757	1488	3	3406	9	2914	9	3	1864	2503	9
miR-124-5p	1233	NA	6	2341	NA	1953	15	15	3794	1352	3255	4270	2180	1315	9
miR-1180-3p	1016	158	120	2044	156	1871	147	209	3702	1244	2889	4272	2167	1037	141
miR-376a-3p	1722	3958	38	892	3623	848	62	3855	352	2178	256	362	974	1854	68
miR-432-5p	1316	1779	46	1424	1939	1200	55	2145	1749	1823	1451	2216	1793	1647	55
miR-340-3p	642	130	922	1416	188	1255	821	208	3594	923	3044	4066	1506	756	856
miR-215-5p	801	100	3977	1115	112	844	4550	134	171	1126	146	202	986	999	4638
miR-374a-3p	1375	1950	693	1365	1919	1128	815	2008	894	1888	709	1049	1287	1641	856
miR-382-5p	1219	1564	62	1368	2090	1060	72	2268	1842	1660	1478	2054	1401	1347	76
miR-106b-5p	1333	2108	433	1044	2447	1007	420	2929	1020	1575	914	1066	1102	1484	506
miR-494-3p	1685	2312	183	1362	1978	1200	249	2162	953	1907	776	967	1408	1784	341
miR-221-5p	1497	2291	164	1302	2210	1114	166	2539	794	2075	698	993	1325	1731	182
miR-129-2-3p	779	5	4	1873	2	1671	9	9	3737	945	3004	4068	1878	802	6
miR-885-5p	870	7	1048	1582	8	1413	1475	10	2270	1033	1780	2578	1780	888	1712
miR-132-5p	746	140	63	1656	189	1476	80	155	3402	1007	2659	3712	1782	879	85
miR-335-3p	1494	2054	209	1275	2483	944	184	2688	385	2095	295	473	1235	1857	225
miR-369-5p	1160	1326	157	1161	1817	970	130	2177	1661	1529	1365	1801	1100	1284	128
miR-382-3p	1362	1468	75	1510	1349	1253	112	1478	1582	1681	1185	1592	1508	1487	107
miR-425-3p	1225	1309	370	1363	1114	1235	460	1465	1495	1455	1152	1762	1387	1300	522
miR-151a-5p	1135	1142	403	1220	1139	1214	438	1307	1686	1446	1419	1964	1392	1219	474
miR-181c-5p	946	435	53	1561	406	1497	49	521	2839	1180	2336	2964	1680	969	59
miR-22-5p	1430	1984	505	1076	1911	949	598	2088	472	1817	411	552	1031	1592	621
miR-32-5p	1218	1996	545	879	2272	850	518	2760	635	1385	525	657	923	1247	550
miR-656-3p	1236	1186	66	1435	963	1416	85	1128	1598	1371	1460	1873	1587	1369	129
