Mature_Name	Sample_1	Sample_2	Sample_3	Sample_4	Sample_5	Sample_6	Sample_7	Sample_8	Sample_9	Sample_10	Sample_11	Sample_12	Sample_13	Sample_14	Sample_15
miR-18a-3p	2	1	2	2	5	1	NA	2	NA	2	1	2	4	4	1
miR-18a-5p	59	62	22	31	81	28	14	73	11	37	10	6	27	35	7
miR-18b-5p	59	62	22	31	81	28	14	73	11	37	10	6	27	35	7
miR-1908-5p	5	1	NA	4	NA	6	1	NA	8	1	21	7	4	NA	NA
miR-190a-5p	69	25	21	94	23	99	16	23	174	37	192	155	95	33	3
miR-190b	2	8	2	1	10	3	1	2	NA	2	2	NA	2	5	NA
miR-191-3p	9	2	6	4	2	3	3	NA	7	1	7	3	2	1	2
miR-191-5p	17	17	10	10	17	10	12	4	9	17	11	9	8	8	3
miR-192-3p	15	NA	95	12	2	12	49	NA	NA	10	2	NA	11	7	33
miR-192-5p	17378	1156	99826	15111	1650	15366	84423	1209	2344	14753	2462	1976	15040	14387	54750
miR-193a-3p	1148	1152	557	513	1420	490	415	1091	103	776	133	90	452	710	255
miR-193a-5p	33	13	120	47	11	55	74	13	49	24	69	48	34	29	66
miR-193b-3p	1219	1247	603	548	1512	517	460	1167	106	836	136	93	479	769	274
miR-193b-5p	4	6	10	6	7	4	5	12	4	11	1	NA	2	4	2
miR-194-3p	7	NA	26	8	NA	6	36	NA	1	7	1	1	6	3	21
miR-194-5p	1360	84	6800	1183	111	1026	6194	98	152	1006	175	136	1027	968	4137
miR-195-3p	21	15	11	19	11	11	17	8	25	7	23	14	15	11	6
miR-195-5p	12681	9349	7145	9949	10245	9654	6647	9620	8389	9974	8234	6881	8373	9401	3964
miR-196a-5p	164	234	1	77	254	62	1	238	1	120	1	NA	58	110	NA
miR-196b-3p	1	NA	NA	1	1	NA	NA	NA	NA	NA	NA	NA	NA	1	NA
miR-196b-5p	164	234	1	77	254	62	1	240	1	120	1	NA	58	111	NA
miR-197-3p	812	251	151	919	260	894	114	254	1011	576	974	769	839	574	69
miR-1972	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
miR-199a-3p	5669	5741	3696	2606	6902	2602	3221	5962	149	4686	185	122	2548	4622	2192
miR-199a-5p	1715	1965	1083	843	2241	737	791	1653	24	1219	35	26	634	1077	495
miR-199b-3p	5669	5741	3696	2606	6902	2602	3221	5962	149	4686	185	122	2548	4622	2192
